2018-03-18 07:23:04.076425 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//hyper9_a256_s083.cpf', '-o', '../solutions_04/hyper9_a256_s083_UNSAT-SAT.out', '-s', '../stat_files_04/hyper9_a256_s083_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.077928 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//hyper3_a003_s530.cpf', '-o', '../solutions_04/hyper3_a003_s530_UNSAT-SAT.out', '-s', '../stat_files_04/hyper3_a003_s530_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.085366 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//grid_04x04_a010_s203.cpf', '-o', '../solutions_04/grid_04x04_a010_s203_UNSAT-SAT.out', '-s', '../stat_files_04/grid_04x04_a010_s203_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.091900 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//grid_32x32_a512_s097.cpf', '-o', '../solutions_04/grid_32x32_a512_s097_UNSAT-SAT.out', '-s', '../stat_files_04/grid_32x32_a512_s097_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.092901 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//hyper3_a005_s651.cpf', '-o', '../solutions_04/hyper3_a005_s651_UNSAT-SAT.out', '-s', '../stat_files_04/hyper3_a005_s651_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.093708 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//hyper9_a192_s020.cpf', '-o', '../solutions_04/hyper9_a192_s020_UNSAT-SAT.out', '-s', '../stat_files_04/hyper9_a192_s020_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.100469 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//hyper9_a320_s169.cpf', '-o', '../solutions_04/hyper9_a320_s169_UNSAT-SAT.out', '-s', '../stat_files_04/hyper9_a320_s169_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.111044 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//hyper9_a128_s959.cpf', '-o', '../solutions_04/hyper9_a128_s959_UNSAT-SAT.out', '-s', '../stat_files_04/hyper9_a128_s959_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.112988 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//hyper6_a024_s251.cpf', '-o', '../solutions_04/hyper6_a024_s251_UNSAT-SAT.out', '-s', '../stat_files_04/hyper6_a024_s251_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.119335 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//hyper6_a003_s266.cpf', '-o', '../solutions_04/hyper6_a003_s266_UNSAT-SAT.out', '-s', '../stat_files_04/hyper6_a003_s266_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.124665 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//hyper9_a192_s058.cpf', '-o', '../solutions_04/hyper9_a192_s058_UNSAT-SAT.out', '-s', '../stat_files_04/hyper9_a192_s058_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
