type of instance, \#agents, Simplified-UNSAT-SAT avg time, Simplified-UNSAT-SAT \#solved, Simplified-Binary avg time, Simplified-Binary \#solved
grid_04x04, 2, 0.0020 s, 2 of 100, 0.0693 s, 6 of 100
grid_04x04, 3, 0.0016 s, 1 of 100, 0.1046 s, 4 of 100
grid_04x04, 4, 0.0026 s, 3 of 100, 0.1770 s, 1 of 100
grid_04x04, 5, 0.0046 s, 6 of 100, 0.1916 s, 8 of 100
grid_04x04, 6, 0.0049 s, 4 of 100, 0.2587 s, 2 of 100
grid_04x04, 7, 0.0113 s, 4 of 100, 0.4487 s, 3 of 100
grid_04x04, 8, 0.6576 s, 2 of 100, 0.6517 s, 6 of 100
grid_08x08, 8, 0.0470 s, 3 of 100, 8.4136 s, 5 of 100
grid_08x08, 12, 0.0826 s, 9 of 100, 105.1827 s, 4 of 100
grid_08x08, 16, 0.1209 s, 3 of 100, 8209.9600 s, 1 of 100
grid_08x08, 20, 0.1711 s, 6 of 100, - , 0
grid_08x08, 24, 0.2757 s, 6 of 100, 25.0584 s, 1 of 100
grid_08x08, 28, 0.5947 s, 1 of 100, - , 0
grid_08x08, 32, 3.2311 s, 1 of 100, - , 0
hyperdim3, 1, 0.0003 s, 4 of 0, 0.0119 s, 7 of 0
hyperdim3, 2, 0.0007 s, 2 of 0, 0.0223 s, 2 of 0
hyperdim3, 3, - , 0, 0.0237 s, 3 of 0
hyperdim3, 4, 0.0010 s, 1 of 0, 0.0427 s, 5 of 0
hyperdim6, 8, 0.0272 s, 3 of 0, 10.5801 s, 6 of 0
hyperdim6, 12, 0.0544 s, 3 of 0, 20.6900 s, 3 of 0
hyperdim6, 16, 0.0745 s, 5 of 0, 31.0908 s, 4 of 0
hyperdim6, 20, 0.1115 s, 5 of 0, 283.5730 s, 6 of 0
hyperdim6, 24, - , 0, 5921.6400 s, 2 of 0
hyperdim6, 28, 0.1698 s, 2 of 0, - , 0
hyperdim6, 32, 0.2361 s, 4 of 0, - , 0
