2018-03-13 06:37:58.203222 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a024_s862.cpf', '-o', '../solutions/hyper_dim6_a024_s862_binary.out', '-s', '../stat_files/hyper_dim6_a024_s862_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:37:58.236242 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a032_s682.cpf', '-o', '../solutions/hyper_dim6_a032_s682_binary.out', '-s', '../stat_files/hyper_dim6_a032_s682_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:38:08.405499 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a016_s266.cpf', '-o', '../solutions/grid_08x08_a016_s266_binary.out', '-s', '../stat_files/grid_08x08_a016_s266_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:38:08.439732 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a020_s062.cpf', '-o', '../solutions/grid_08x08_a020_s062_binary.out', '-s', '../stat_files/grid_08x08_a020_s062_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:38:08.441160 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a028_s928.cpf', '-o', '../solutions/hyper_dim6_a028_s928_binary.out', '-s', '../stat_files/hyper_dim6_a028_s928_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:38:18.481188 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a020_s427.cpf', '-o', '../solutions/grid_08x08_a020_s427_binary.out', '-s', '../stat_files/grid_08x08_a020_s427_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:38:28.530386 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a020_s651.cpf', '-o', '../solutions/grid_08x08_a020_s651_binary.out', '-s', '../stat_files/grid_08x08_a020_s651_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:38:48.643921 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a020_s939.cpf', '-o', '../solutions/grid_08x08_a020_s939_binary.out', '-s', '../stat_files/grid_08x08_a020_s939_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:38:48.666191 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a028_s883.cpf', '-o', '../solutions/grid_08x08_a028_s883_binary.out', '-s', '../stat_files/grid_08x08_a028_s883_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:38:58.693772 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a020_s668.cpf', '-o', '../solutions/grid_08x08_a020_s668_binary.out', '-s', '../stat_files/grid_08x08_a020_s668_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:39:28.783305 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a016_s438.cpf', '-o', '../solutions/grid_08x08_a016_s438_binary.out', '-s', '../stat_files/grid_08x08_a016_s438_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:39:58.862613 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a028_s338.cpf', '-o', '../solutions/hyper_dim6_a028_s338_binary.out', '-s', '../stat_files/hyper_dim6_a028_s338_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:40:08.863325 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a016_s807.cpf', '-o', '../solutions/grid_08x08_a016_s807_binary.out', '-s', '../stat_files/grid_08x08_a016_s807_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:43:19.062900 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a020_s169.cpf', '-o', '../solutions/grid_08x08_a020_s169_binary.out', '-s', '../stat_files/grid_08x08_a020_s169_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:43:39.100608 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a028_s589.cpf', '-o', '../solutions/hyper_dim6_a028_s589_binary.out', '-s', '../stat_files/hyper_dim6_a028_s589_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:44:59.165784 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a020_s072.cpf', '-o', '../solutions/grid_08x08_a020_s072_binary.out', '-s', '../stat_files/grid_08x08_a020_s072_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:45:19.201427 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a032_s083.cpf', '-o', '../solutions/grid_08x08_a032_s083_binary.out', '-s', '../stat_files/grid_08x08_a032_s083_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:46:39.276553 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a028_s695.cpf', '-o', '../solutions/grid_08x08_a028_s695_binary.out', '-s', '../stat_files/grid_08x08_a028_s695_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:48:09.410133 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a032_s327.cpf', '-o', '../solutions/hyper_dim6_a032_s327_binary.out', '-s', '../stat_files/hyper_dim6_a032_s327_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:48:19.404671 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a024_s893.cpf', '-o', '../solutions/hyper_dim6_a024_s893_binary.out', '-s', '../stat_files/hyper_dim6_a024_s893_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:48:59.518174 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a032_s919.cpf', '-o', '../solutions/hyper_dim6_a032_s919_binary.out', '-s', '../stat_files/hyper_dim6_a032_s919_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:49:19.582544 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a028_s613.cpf', '-o', '../solutions/hyper_dim6_a028_s613_binary.out', '-s', '../stat_files/hyper_dim6_a028_s613_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:49:39.644550 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a028_s932.cpf', '-o', '../solutions/grid_08x08_a028_s932_binary.out', '-s', '../stat_files/grid_08x08_a028_s932_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:49:59.711161 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a024_s773.cpf', '-o', '../solutions/grid_08x08_a024_s773_binary.out', '-s', '../stat_files/grid_08x08_a024_s773_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:50:39.837995 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a028_s516.cpf', '-o', '../solutions/hyper_dim6_a028_s516_binary.out', '-s', '../stat_files/hyper_dim6_a028_s516_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:50:59.883707 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a024_s772.cpf', '-o', '../solutions/hyper_dim6_a024_s772_binary.out', '-s', '../stat_files/hyper_dim6_a024_s772_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:51:19.937527 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a028_s855.cpf', '-o', '../solutions/hyper_dim6_a028_s855_binary.out', '-s', '../stat_files/hyper_dim6_a028_s855_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:52:20.005549 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a028_s878.cpf', '-o', '../solutions/hyper_dim6_a028_s878_binary.out', '-s', '../stat_files/hyper_dim6_a028_s878_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:54:00.135963 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a028_s012.cpf', '-o', '../solutions/grid_08x08_a028_s012_binary.out', '-s', '../stat_files/grid_08x08_a028_s012_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:55:50.372536 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a032_s100.cpf', '-o', '../solutions/hyper_dim6_a032_s100_binary.out', '-s', '../stat_files/hyper_dim6_a032_s100_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:56:00.383680 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a032_s932.cpf', '-o', '../solutions/hyper_dim6_a032_s932_binary.out', '-s', '../stat_files/hyper_dim6_a032_s932_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:56:10.395169 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a032_s327.cpf', '-o', '../solutions/grid_08x08_a032_s327_binary.out', '-s', '../stat_files/grid_08x08_a032_s327_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:58:50.626186 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a032_s545.cpf', '-o', '../solutions/grid_08x08_a032_s545_binary.out', '-s', '../stat_files/grid_08x08_a032_s545_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:59:30.708414 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a032_s523.cpf', '-o', '../solutions/grid_08x08_a032_s523_binary.out', '-s', '../stat_files/grid_08x08_a032_s523_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 06:59:40.735528 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a020_s491.cpf', '-o', '../solutions/grid_08x08_a020_s491_binary.out', '-s', '../stat_files/grid_08x08_a020_s491_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:00:20.877511 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a032_s251.cpf', '-o', '../solutions/grid_08x08_a032_s251_binary.out', '-s', '../stat_files/grid_08x08_a032_s251_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:00:30.894898 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a028_s772.cpf', '-o', '../solutions/grid_08x08_a028_s772_binary.out', '-s', '../stat_files/grid_08x08_a028_s772_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:00:50.919594 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a016_s893.cpf', '-o', '../solutions/grid_08x08_a016_s893_binary.out', '-s', '../stat_files/grid_08x08_a016_s893_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:01:31.057835 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a024_s695.cpf', '-o', '../solutions/hyper_dim6_a024_s695_binary.out', '-s', '../stat_files/hyper_dim6_a024_s695_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:02:21.154186 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a016_s155.cpf', '-o', '../solutions/grid_08x08_a016_s155_binary.out', '-s', '../stat_files/grid_08x08_a016_s155_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:03:41.393160 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a028_s062.cpf', '-o', '../solutions/grid_08x08_a028_s062_binary.out', '-s', '../stat_files/grid_08x08_a028_s062_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:04:21.490149 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a028_s919.cpf', '-o', '../solutions/grid_08x08_a028_s919_binary.out', '-s', '../stat_files/grid_08x08_a028_s919_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:04:31.492153 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a016_s142.cpf', '-o', '../solutions/grid_08x08_a016_s142_binary.out', '-s', '../stat_files/grid_08x08_a016_s142_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:04:41.513343 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a016_s738.cpf', '-o', '../solutions/grid_08x08_a016_s738_binary.out', '-s', '../stat_files/grid_08x08_a016_s738_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:07:31.862471 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a020_s266.cpf', '-o', '../solutions/grid_08x08_a020_s266_binary.out', '-s', '../stat_files/grid_08x08_a020_s266_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:09:52.121324 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a028_s862.cpf', '-o', '../solutions/grid_08x08_a028_s862_binary.out', '-s', '../stat_files/grid_08x08_a028_s862_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:10:42.292324 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a024_s515.cpf', '-o', '../solutions/grid_08x08_a024_s515_binary.out', '-s', '../stat_files/grid_08x08_a024_s515_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:11:52.550010 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a024_s327.cpf', '-o', '../solutions/grid_08x08_a024_s327_binary.out', '-s', '../stat_files/grid_08x08_a024_s327_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:11:52.552311 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a024_s540.cpf', '-o', '../solutions/hyper_dim6_a024_s540_binary.out', '-s', '../stat_files/hyper_dim6_a024_s540_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:12:12.614844 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a028_s181.cpf', '-o', '../solutions/hyper_dim6_a028_s181_binary.out', '-s', '../stat_files/hyper_dim6_a028_s181_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:13:12.749418 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a024_s309.cpf', '-o', '../solutions/hyper_dim6_a024_s309_binary.out', '-s', '../stat_files/hyper_dim6_a024_s309_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:13:42.802380 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a024_s349.cpf', '-o', '../solutions/grid_08x08_a024_s349_binary.out', '-s', '../stat_files/grid_08x08_a024_s349_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:14:12.872255 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a028_s678.cpf', '-o', '../solutions/grid_08x08_a028_s678_binary.out', '-s', '../stat_files/grid_08x08_a028_s678_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:14:12.874482 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a032_s039.cpf', '-o', '../solutions/grid_08x08_a032_s039_binary.out', '-s', '../stat_files/grid_08x08_a032_s039_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:15:03.009036 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a028_s457.cpf', '-o', '../solutions/grid_08x08_a028_s457_binary.out', '-s', '../stat_files/grid_08x08_a028_s457_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:15:03.012910 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a032_s836.cpf', '-o', '../solutions/hyper_dim6_a032_s836_binary.out', '-s', '../stat_files/hyper_dim6_a032_s836_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:15:03.022872 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a028_s868.cpf', '-o', '../solutions/hyper_dim6_a028_s868_binary.out', '-s', '../stat_files/hyper_dim6_a028_s868_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:15:43.120520 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a032_s710.cpf', '-o', '../solutions/grid_08x08_a032_s710_binary.out', '-s', '../stat_files/grid_08x08_a032_s710_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:16:43.226518 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a016_s203.cpf', '-o', '../solutions/grid_08x08_a016_s203_binary.out', '-s', '../stat_files/grid_08x08_a016_s203_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:17:53.357579 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a024_s723.cpf', '-o', '../solutions/hyper_dim6_a024_s723_binary.out', '-s', '../stat_files/hyper_dim6_a024_s723_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:19:23.483908 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a028_s773.cpf', '-o', '../solutions/hyper_dim6_a028_s773_binary.out', '-s', '../stat_files/hyper_dim6_a028_s773_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:20:43.573070 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a016_s020.cpf', '-o', '../solutions/grid_08x08_a016_s020_binary.out', '-s', '../stat_files/grid_08x08_a016_s020_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:20:53.613996 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a032_s187.cpf', '-o', '../solutions/grid_08x08_a032_s187_binary.out', '-s', '../stat_files/grid_08x08_a032_s187_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:21:23.618350 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a020_s083.cpf', '-o', '../solutions/grid_08x08_a020_s083_binary.out', '-s', '../stat_files/grid_08x08_a020_s083_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:22:13.704798 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a028_s309.cpf', '-o', '../solutions/hyper_dim6_a028_s309_binary.out', '-s', '../stat_files/hyper_dim6_a028_s309_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:23:43.852827 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a028_s479.cpf', '-o', '../solutions/hyper_dim6_a028_s479_binary.out', '-s', '../stat_files/hyper_dim6_a028_s479_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:24:33.938575 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a016_s479.cpf', '-o', '../solutions/grid_08x08_a016_s479_binary.out', '-s', '../stat_files/grid_08x08_a016_s479_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:24:43.978025 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a024_s039.cpf', '-o', '../solutions/grid_08x08_a024_s039_binary.out', '-s', '../stat_files/grid_08x08_a024_s039_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:24:43.982654 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a024_s855.cpf', '-o', '../solutions/grid_08x08_a024_s855_binary.out', '-s', '../stat_files/grid_08x08_a024_s855_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:25:14.058496 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a016_s668.cpf', '-o', '../solutions/grid_08x08_a016_s668_binary.out', '-s', '../stat_files/grid_08x08_a016_s668_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:25:54.161478 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a016_s736.cpf', '-o', '../solutions/grid_08x08_a016_s736_binary.out', '-s', '../stat_files/grid_08x08_a016_s736_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:26:14.226856 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a024_s097.cpf', '-o', '../solutions/hyper_dim6_a024_s097_binary.out', '-s', '../stat_files/hyper_dim6_a024_s097_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:26:14.258542 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a032_s112.cpf', '-o', '../solutions/hyper_dim6_a032_s112_binary.out', '-s', '../stat_files/hyper_dim6_a032_s112_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:26:44.296772 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a032_s651.cpf', '-o', '../solutions/hyper_dim6_a032_s651_binary.out', '-s', '../stat_files/hyper_dim6_a032_s651_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:27:24.342144 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a028_s738.cpf', '-o', '../solutions/hyper_dim6_a028_s738_binary.out', '-s', '../stat_files/hyper_dim6_a028_s738_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:29:34.545682 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a028_s875.cpf', '-o', '../solutions/hyper_dim6_a028_s875_binary.out', '-s', '../stat_files/hyper_dim6_a028_s875_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:30:04.567608 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a024_s988.cpf', '-o', '../solutions/hyper_dim6_a024_s988_binary.out', '-s', '../stat_files/hyper_dim6_a024_s988_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:31:34.734190 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a028_s540.cpf', '-o', '../solutions/grid_08x08_a028_s540_binary.out', '-s', '../stat_files/grid_08x08_a028_s540_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:32:04.793158 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a028_s530.cpf', '-o', '../solutions/hyper_dim6_a028_s530_binary.out', '-s', '../stat_files/hyper_dim6_a028_s530_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:32:54.891728 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a032_s653.cpf', '-o', '../solutions/grid_08x08_a032_s653_binary.out', '-s', '../stat_files/grid_08x08_a032_s653_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:34:04.973286 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a020_s613.cpf', '-o', '../solutions/grid_08x08_a020_s613_binary.out', '-s', '../stat_files/grid_08x08_a020_s613_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:35:05.108350 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a028_s039.cpf', '-o', '../solutions/hyper_dim6_a028_s039_binary.out', '-s', '../stat_files/hyper_dim6_a028_s039_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:35:15.136294 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a024_s515.cpf', '-o', '../solutions/hyper_dim6_a024_s515_binary.out', '-s', '../stat_files/hyper_dim6_a024_s515_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:35:15.147521 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a032_s155.cpf', '-o', '../solutions/grid_08x08_a032_s155_binary.out', '-s', '../stat_files/grid_08x08_a032_s155_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:35:35.177493 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a028_s327.cpf', '-o', '../solutions/hyper_dim6_a028_s327_binary.out', '-s', '../stat_files/hyper_dim6_a028_s327_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:36:15.233377 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/grid_08x08_a024_s155.cpf', '-o', '../solutions/grid_08x08_a024_s155_binary.out', '-s', '../stat_files/grid_08x08_a024_s155_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
2018-03-13 07:36:25.286757 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances/hyper_dim6_a032_s257.cpf', '-o', '../solutions/hyper_dim6_a032_s257_binary.out', '-s', '../stat_files/hyper_dim6_a032_s257_binary.txt', '-e', 'simplified', '-search', 'binary', '-v ', '0', '-t ', '600']
